Game Name,Current Players,24h Peak,All-Time Peak
Counter-Strike 2,"1,102,468","1,390,163","1,862,531"
Dota 2,"699,073","791,670","1,295,114"
Battlefield™ 6 Open Beta,"335,646","362,409","521,079"
PUBG: BATTLEGROUNDS,"227,507","722,216","3,257,248"
PEAK,"169,006","169,006","169,006"
Rust,"142,669","146,531","262,284"
Source SDK Base 2007,"112,838","112,927","251,292"
Marvel Rivals,"104,233","107,172","644,269"
Banana,"93,163","102,283","917,272"
Grand Theft Auto V Legacy,"92,706","102,283","364,548"
Baldur's Gate 3,"90,416","90,416","875,343"
Tom Clancy's Rainbow Six® Siege X,"89,135","89,135","201,933"
Apex Legends,"88,604","212,950","624,473"
Bongo Cat,"81,113","96,691","194,508"
Dead by Daylight,"78,073","78,073","120,717"
Stardew Valley,"74,185","132,567","236,614"
Cyberpunk 2077,"71,238","84,236","1,054,388"
Call of Duty®,"69,643","69,643","491,670"
Wallpaper Engine,"67,771","133,570","150,375"
Football Manager 2024,"66,354","71,108","89,478"
War Thunder,"66,290","83,493","121,318"
Delta Force,"64,133","197,970","198,809"
Team Fortress 2,"62,050","62,153","253,997"
EA SPORTS FC 25,"59,501","64,281","110,026"
DayZ,"59,469","60,669","78,937"
Warframe,"58,560","62,285","189,837"
Crosshair X,"58,540","58,993","89,033"
Spacewar,"58,112","73,080","138,416"
RimWorld,"55,095","60,894","96,040"
Destiny 2,"52,931","52,931","316,750"
Hearts of Iron IV,"49,476","58,679","93,196"
Counter-Strike: Source,"46,738","54,068","100,056"
7 Days to Die,"43,300","52,124","125,419"
ELDEN RING NIGHTREIGN,"43,293","75,462","313,593"
VRChat,"41,846","57,127","66,824"
Grand Theft Auto V Enhanced,"41,617","64,940","187,059"
The Sims™ 4,"41,091","41,337","96,328"
Euro Truck Simulator 2,"40,746","43,327","69,754"
Farming Simulator 25,"39,865","41,150","135,970"
Sid Meier's Civilization VI,"39,113","52,865","162,657"
Red Dead Redemption 2,"37,028","46,186","99,993"
Geometry Dash,"36,746","37,410","88,346"
ELDEN RING,"35,508","46,255","953,426"
Palworld,"34,420","49,376","2,101,867"
HELLDIVERS™ 2,"34,336","34,589","458,709"
Dune: Awakening,"33,595","33,595","189,333"
tModLoader,"33,004","46,280","56,583"
Overwatch® 2,"32,084","32,084","75,608"
R.E.P.O.,"31,997","34,350","271,571"
Garry's Mod,"31,202","31,632","73,863"
Project Zomboid,"30,849","30,957","65,505"
Satisfactory,"30,626","30,696","186,158"
Terraria,"30,220","37,790","489,886"
The Elder Scrolls V: Skyrim Special Edition,"29,241","29,264","69,906"
Umamusume: Pretty Derby,"28,893","36,667","87,453"
Total War: WARHAMMER III,"28,841","30,463","166,754"
ARK: Survival Ascended,"28,051","28,263","98,047"
FINAL FANTASY XIV Online,"27,485","27,512","95,150"
Phasmophobia,"26,703","26,703","112,717"
BeamNG.drive,"26,341","26,705","30,649"
Valheim,"25,834","25,834","502,387"
Schedule I,"25,805","25,805","459,075"
Factorio,"25,432","25,555","118,674"
Black Desert,"24,922","25,444","60,395"
Left 4 Dead 2,"24,862","34,910","162,399"
Once Human,"24,849","35,326","231,668"
Rocket League,"24,736","24,736","147,632"
ARK: Survival Evolved,"24,614","32,971","248,405"
PAYDAY 2,"24,603","25,978","247,709"
Crusader Kings III,"24,596","25,497","98,872"
Soundpad,"23,514","23,582","40,096"
The Binding of Isaac: Rebirth,"22,917","25,277","70,701"
The Witcher 3: Wild Hunt,"21,901","27,576","103,329"
Path of Exile,"21,761","22,196","229,337"
THE FINALS,"21,705","21,705","242,619"
Age of Empires II: Definitive Edition,"21,592","23,652","38,725"
NARAKA: BLADEPOINT,"21,207","117,914","385,770"
Europa Universalis IV,"21,204","22,032","48,165"
Mount & Blade II: Bannerlord,"20,991","31,800","248,216"
Fallout 4,"20,138","20,212","472,962"
Monster Hunter Wilds,"19,988","51,580","1,384,608"
Hunt: Showdown 1896,"19,739","22,227","60,124"
Sid Meier's Civilization V,"19,405","19,586","91,363"
Clair Obscur: Expedition 33,"18,884","18,937","145,063"
Lost Ark,"18,870","19,424","1,325,305"
Don't Starve Together,"18,739","54,295","115,925"
eFootball™,"18,579","20,647","27,540"
"Warhammer 40,000: Dawn of War - Definitive Edition","18,262","18,262","18,262"
OBS Studio,"17,407","24,208","27,334"
Brawlhalla,"16,803","16,839","34,816"
Abiotic Factor,"16,664","16,664","29,278"
Limbus Company,"16,216","34,767","115,862"
Stellaris,"15,867","18,223","68,602"
SCUM,"15,763","21,586","68,322"
Ready or Not,"15,746","15,746","55,174"
Grounded 2,"15,738","16,368","49,836"
THRONE AND LIBERTY,"15,597","17,107","336,300"
Subnautica,"15,340","17,009","51,156"
Assetto Corsa,"15,328","15,450","19,796"
Farming Simulator 22,"15,206","15,517","105,636"
